Year,HT Soybeans,HT Cotton,Bt Cotton,Bt Corn,Ht Corn
Year,HT Soybeans,HT Cotton,Bt Cotton,Bt Corn,HT Corn
1996,7.4,2.2,14.6,1.4,3
1997,17,10.5,15,7.6,4.3
1998,44.2,26.2,16.8,19.1,9
1999,55.8,42.1,32.3,25.9,8
2000,54,46,35,19,7
2001,68,56,37,19,8
2002,75,58,35,24,11
2003,81,59,41,29,15
2004,85,60,46,33,20
2005,87,61,52,35,26
2006,89,65,57,40,36
2007,91,70,59,49,52
2008,92,68,63,57,63
2009,91,71,65,63,68
2010,93,78,73,63,70
2011,94,73,75,65,72
2012,93,80,77,67,73
2013,93,82,75,76,85
2014,94,91,84,80,89
2015,94,89,84,81,89
2016,94,89,84,79,89
2017,94,91,85,80,89
