,Incidences Seer 9,Incidences Seer 13,Deaths
1975,4.8,-,0.5
1976,4.8,-,0.6
1977,5.5,-,0.6
1978,5.1,-,0.5
1979,4.5,-,0.5
1980,4.3,-,0.5
1981,4.4,-,0.5
1982,4.6,-,0.5
1983,4.7,-,0.4
1984,4.8,-,0.5
1985,5.1,-,0.4
1986,5.3,-,0.5
1987,5,-,0.5
1988,4.9,-,0.4
1989,5.4,-,0.4
1990,5.5,-,0.4
1991,5.5,-,0.4
1992,5.9,5.8,0.5
1993,5.6,5.7,0.5
1994,6.1,5.9,0.4
1995,6.2,6.1,0.4
1996,6.5,6.3,0.5
1997,6.8,6.7,0.5
1998,7,6.7,0.4
1999,7.3,7.3,0.5
2000,7.6,7.5,0.5
2001,8.3,8.2,0.5
2002,9.2,8.9,0.5
2003,9.7,9.2,0.4
2004,10.1,9.7,0.5
2005,11,10.7,0.5
2006,11.3,11,0.5
2007,12.4,11.9,0.5
2008,13.2,12.6,0.5
2009,14.5,13.8,0.5
2010,13.9,13.4,0.5
2011,14.8,14.2,0.5
2012,15,14.3,0.5
2013,15.1,14.6,0.5
2014,15,14.5,0.5
